[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1019_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1019_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1020_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1020_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1020_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1020_d"('20200101','20200101') 
[2020-08-26 16:36:00] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1020_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1021_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1021_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1021_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1021_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1021_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1023_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1023_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1023_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1023_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1023_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1024_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1024_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1024_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1024_d"('20200101','20200101') 
[2020-08-26 16:36:01] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1024_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1025_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1025_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1025_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1025_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1025_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1026_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1026_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1026_d"('20200101','20200101') 
[2020-08-26 16:36:02] - [swr.log] -  w_level:[INFO] - job_name:[LogUitl] - detail:  select dwd."fun_dwd_DI1026_d"('20200101','20200101') 
